Наименование,Ед. изм.,Цена закупа,Кол-во приехало на склад,Кол-во на возврат,Кол-во коробок/ящиков/кг,Цена за коробка/ящик,Общая сумма,Поставщик,Кол-во принято на баланс,Цена за кг/шт/упак,Стоимость принятых товаров,Разница м\у закупочной и фактом
Мята,кг,900,"1,34",,"1,34",1300,1742,зб,"1,34","1 300,00","1 742,00","-536,00"
Перец Ласточка красные,кг,1 500,2,,2,1500,3000,зб,"2,00","1 500,00","3 000,00","0,00"
Кинза,кг,550,"3,3",,"3,3",550,1815,ИП Ельнур,"3,30","550,00","1 815,00","0,00"
Листья салата,кг,400,"2,5",,"2,5",400,1000,ИП Ельнур,"2,50","400,00","1 000,00","0,00"
Листья салата Красный,кг,700,"5,5",,"5,5",700,3850,ИП Ельнур,"5,50","700,00","3 850,00","0,00"
Лук зеленый,кг,750,"4,26",,"4,26",750,3195,ИП Ельнур,"4,26","750,00","3 195,00","0,00"
Мята,кг,900,"1,5",,"1,5",900,1350,ИП Ельнур,"1,50","900,00","1 350,00","0,00"
Петрушка обычная,кг,750,"4,2",,"4,2",750,3150,ИП Ельнур,"4,20","750,00","3 150,00","0,00"
Руккола,кг,900,"3,5",,"3,5",900,3150,ИП Ельнур,"3,50","900,00","3 150,00","0,00"
Укроп,кг,750,5,,5,750,3750,ИП Ельнур,"5,00","750,00","3 750,00","0,00"
Шпинат,кг,400,6,,6,400,2400,ИП Ельнур,"5,00","480,00","2 400,00","-400,00"
Перец полугорький зеленый,кг,900,8,,1,8000,8000,ИП Таипова,"8,00","1 000,00","8 000,00","-800,00"
Перец полугорький красный,кг,900,9,,1,8000,8000,ИП Таипова,"9,00","888,89","8 000,00","100,00"
Перец светофор желтый,кг,700,"62,9",,9,5500,49500,ИП Таипова,"62,90","786,96","49 500,00","-5 470,00"
Перец светофор зеленый,кг,700,48,,8,5500,44000,ИП Таипова,"48,00","916,67","44 000,00","-10 400,00"
Перец светофор красный,кг,700,27,,4,5500,22000,ИП Таипова,"27,00","814,81","22 000,00","-3 100,00"
Помидоры черри красные Китай,кг,950,"35,1",,8,3700,29600,ИП Таипова,"35,10","843,30","29 600,00","3 745,00"
Авокадо Хасс (2шт),упак,1 300,10,,1,14000,14000,Хаджи,"10,00","1 400,00","14 000,00","-1 000,00"
Апельсин Египет,кг,620,"43,2",,3,8000,24000,Хаджи,"43,20","555,56","24 000,00","2 784,00"
Банан ,кг,630,19,,1,11000,11000,Хаджи,"19,00","578,95","11 000,00","970,00"
Виноград бычий глаз,кг,1 900,52,,6,12000,72000,Хаджи,"52,00","1 384,62","72 000,00","26 800,00"
Грейпфрут ,кг,1 050,"15,8",,1,16000,16000,Хаджи,"15,80","1 012,66","16 000,00","590,00"
Киви (в упаковке),упак ,550,20,,2,7000,14000,Хаджи,"20,00","700,00","14 000,00","-3 000,00"
Лайм ,кг,2 700,4,,1,10000,10000,Хаджи,"4,00","2 500,00","10 000,00","800,00"
Лимон Турция,кг,950,"35,8",,2,15000,30000,Хаджи,"35,80","837,99","30 000,00","4 010,00"
Мандарин Турция ,кг,1 100,"56,55",,5,10000,50000,Хаджи,"56,55","884,17","50 000,00","12 205,00"
,,,,,,,241000,Хаджи,,,,
,,,,,,,,,,,,"106 546,00"
